name,strain_dil,dilution,r,OD,FSC-A,SSC-A,FL1-A,FL3-A,FSC-H,SSC-H,FL1-H,FL3-H,Width,Time,sFSC-A,sSSC-A,sFL1-A,sFL3-A,sFSC-H,sSSC-H,sFL1-H,sFL3-H,sWidth,sTime,numstrain
A01,JAC33_000,1,1,0.097,20958.93345,4614.2069,2222.52235,1870.3792,62144.48765,7982.19135,2932.7554,2341.2985,21.0208,235.29465,10809.90577,215299.5941,755.0767464,726.9779803,21057.88703,118759.2881,786.7220689,847.5372314,6.297568369,33.95705422,33
A02,JAC33_000,1,2,0.12,20369.1678,2814.9002,2288.4138,1890.6768,62255.50835,7782.56575,3121.3609,2435.2177,20.6264,199.70255,8482.265743,4126.232729,775.9479159,711.6826691,20614.34414,8912.522988,837.985724,870.8965898,6.389430572,23.69788331,33
A03,JAC33_000,1,3,0.112,22507.22685,2988.1302,2342.41745,1926.53065,61656.1832,7409.7283,2835.80295,2238.92705,22.53,192.53765,9303.572758,7458.383096,770.2130862,670.5177768,18822.39616,14410.57378,760.5065348,796.7995164,6.725169143,14.20315396,33
A05,JAC33_000,4,1,0.076,30019.5278,5575.3428,2626.14115,1886.0168,56676.05595,9715.00745,2479.4259,1781.81115,32.2692,217.75375,25935.17006,50436.07726,1144.884159,850.1195491,23473.13422,50650.15683,773.0386362,668.7387393,16.87727559,33.68276727,33
A06,JAC33_000,4,2,0.087,21738.95265,3531.97045,2238.5398,1731.38565,62352.83405,7702.19805,2967.02745,2150.74475,21.2986,270.4609,45540.83985,73069.371,757.7047647,559.7369488,42139.39202,82371.27996,778.3523457,710.3038872,8.219558263,42.26163119,33
A07,JAC33_000,4,3,0.086,24057.2816,3280.1056,2437.5584,1837.1662,59395.88205,6964.0671,2715.35935,1975.05755,23.8681,186.50195,61847.32309,41413.35111,2242.95635,1333.451827,41513.40126,27539.85026,1280.862789,811.6248836,7.596788953,15.05707462,33
A09,JAC33_000,7,1,0.03,26863.2666,31301.05225,2289.16335,1751.422,61597.97895,16687.7759,2550.72635,1874.39715,23.7076,284.6544,99507.37508,980497.1521,880.1908054,649.1057104,65905.05322,398099.9758,669.2189719,645.5561342,8.237851798,68.3899478,33
A10,JAC33_000,7,2,0.036,25523.02225,10281.4812,2319.27725,1791.767,60739.9854,9466.27525,2559.60195,1901.8987,23.67845,262.6252,103092.3475,494031.0519,3644.22348,2684.878206,52456.64114,185419.6801,1006.575087,892.0629781,7.41132617,57.27906009,33
A11,JAC33_000,7,3,0.029,24944.3424,3752.56405,2277.282,1781.10315,61073.30665,6815.7696,2548.1974,1918.62845,23.51585,294.58,105630.3845,107677.2015,1377.939134,947.3877302,53622.69484,37936.04766,675.1211601,660.8085721,7.05461188,75.83045233,33
B01,JAC33_000,2,1,0.466,28838.4955,4770.61665,3644.42925,2553.96515,69007.98385,10240.11255,3834.32095,2685.986,25.8244,193.40875,15467.37214,6971.075748,2009.89273,1377.857578,22863.97887,9598.524566,1303.371073,1019.219836,10.17957095,22.56147321,33
B02,JAC33_000,2,2,0.561,22027.9303,3223.54845,2910.4007,2130.39865,68585.34485,9124.4993,4079.73525,2836.3763,20.5781,238.81695,10303.24092,4079.820946,1305.586992,926.7204509,23059.80216,7961.492726,1277.98459,1030.114675,7.457043676,29.64773251,33
B03,JAC33_000,2,3,0.572,21467.906,2986.6393,2748.80075,2060.4663,65272.11205,8250.0143,3718.58395,2647.84385,20.7286,193.387,11058.08662,3037.268797,1139.884284,837.8375053,20758.33676,7078.031475,1140.321678,951.3500174,7.040670567,9.929200925,33
B05,JAC33_000,5,1,0.084,24373.3806,4146.0032,2489.92135,1859.51035,59414.923,7532.74655,2701.81405,1967.0366,24.31085,186.66105,30990.61368,78955.8434,878.7834732,672.9500678,21245.38301,36461.97453,711.1696507,656.813047,7.84940904,14.7233034,33
B06,JAC33_000,5,2,0.088,20574.51875,2915.87215,2244.29345,1712.8505,62368.009,7296.2449,3110.30885,2204.68095,20.10245,259.81655,34511.13195,24533.13733,633.4668438,513.5984883,39228.76452,19182.26152,772.2185896,713.0555515,6.440617517,49.46599333,33
B07,JAC33_000,5,3,0.09,21309.35635,2716.02045,2301.2673,1751.2395,61596.0776,6960.6594,2951.19075,2113.2121,21.2339,220.03765,16061.01313,7286.022655,727.6397711,577.5442835,23299.56558,7722.037139,746.8873489,682.4302257,6.382287269,26.24733001,33
B09,JAC33_000,8,1,0.196,24770.2221,4032.22375,2672.0164,2019.9241,62966.2025,8445.047,2991.84535,2204.5966,23.8759,160.7251,45054.98942,50684.69348,1152.292647,847.2825862,32541.63069,30294.12614,838.0640646,754.42702,7.958636767,4.491116787,33
B10,JAC33_000,8,2,0.271,25782.13985,3732.1312,2926.1869,2184.97275,64318.6583,8312.66495,3170.37275,2330.2776,24.6257,201.0689,11739.11806,3636.291495,1279.266704,946.4471521,20018.50868,6871.245868,950.7473803,833.0578468,8.320877328,28.02521281,33
B11,JAC33_000,8,3,0.232,24816.47515,3545.1693,2689.7578,2075.63315,63388.5116,8099.77925,2990.73425,2253.6649,24.08995,161.64595,10688.80215,3394.052617,1055.993842,825.7916183,19190.8955,6714.207164,837.3872232,776.6424864,7.791954761,5.670802289,33
C01,JAC33_000,3,1,0.164,24875.94935,3757.41955,2659.9044,1994.8988,61569.0385,7925.77735,2906.08635,2134.90045,24.46005,164.80035,19239.53919,21897.73731,1010.487918,760.2700767,19901.80689,18910.13979,797.3970744,719.5117086,8.225497188,5.120965717,33
C02,JAC33_000,3,2,0.192,24760.53375,3550.81115,2727.1524,2018.12725,62937.2404,8110.3983,3029.5894,2186.0147,24.1793,176.7584,11660.68757,4297.453199,1078.907661,804.0107791,20394.93106,7529.656808,853.3719591,740.099469,7.912227974,4.213327597,33
C03,JAC33_000,3,3,0.199,24326.2408,3116.0359,2522.0594,1911.92435,63211.8237,7367.457,2881.86045,2105.7287,23.79195,175.94755,10942.54793,3838.748471,933.1752435,724.119577,19300.72609,6831.230042,784.3503574,702.5378118,7.482898182,6.984554316,33
C05,JAC33_000,6,1,0.041,25712.90035,3538.96335,2319.4771,1807.77365,58814.7726,7135.40555,2420.2169,1864.72525,26.13365,230.8027,30985.70689,20291.94831,846.5978061,717.2575347,23706.76496,14742.38098,654.4621588,672.525955,12.18380021,37.85803049,33
C06,JAC33_000,6,2,0.052,25454.5379,4135.53305,2353.34815,1844.3201,60739.8995,7752.31265,2561.259,1954.97275,24.38125,211.21385,105131.0897,81688.39297,3479.278776,1731.658887,65558.44596,58802.85332,1849.594341,1001.661528,8.918671338,30.33185155,33
C07,JAC33_000,6,3,0.037,24261.6993,3214.81775,2230.97785,1780.74835,60121.5357,7011.67895,2466.5984,1904.29515,23.95845,261.3041,34866.85065,29075.60752,874.3796675,659.6012665,38008.95851,32534.13413,692.1445169,650.1895343,7.410372703,54.95949166,33
C09,JAC33_000,9,1,0.09,20569.82225,2891.0749,2234.07915,1721.3179,62086.9211,7181.09345,3056.668,2189.7638,20.3203,294.008,67723.38594,55065.39459,925.4570017,627.5952959,61699.94783,40268.70722,807.1314682,727.6735955,5.963011648,49.95039976,33
C10,JAC33_000,9,2,0.146,23083.48275,2747.40265,2369.2332,1815.5328,62242.827,6878.0513,2840.0226,2075.9691,22.9417,178.52995,9946.862103,2853.084487,865.1489403,627.7610537,19616.71546,6212.099143,793.871773,703.012338,6.956795319,14.37770159,33
C11,JAC33_000,9,3,0.104,24503.51165,4244.3567,2488.9449,1884.25305,60533.93515,7587.78265,2801.5873,2045.91295,23.65375,182.1588,147802.3294,161588.3157,3100.383233,2159.642272,34450.65449,41286.90622,828.2010959,704.776462,8.277678475,9.53544349,33
D09,JAC33_000,10,1,0.4,25679.3008,4100.24165,3079.02425,2231.51725,67606.18385,9453.29565,3574.5841,2522.4364,23.65595,205.70195,16766.86558,12055.14692,1434.092486,1012.148932,22152.30845,10416.07169,1103.759868,903.3095328,8.84543835,26.01580704,33
